"TYPE (ARTIST/TITLE)", "Original", "Replacement"
"TITLE","[unknown]",""
"TITLE","Various Artists",""
"TITLE","122747299",""
"TITLE","www.qsound.eu",""
"TITLE","(RaagJatt.com)",""
"TITLE","144827295",""
"TITLE","31515281327040",""
"TITLE","90879177",""
"TITLE","- soon on 12""",""
"TITLE","[DRUMCODE]",""
"TITLE","(128kbit_Vorbis)",""
"TITLE","(152kbit_Vorbis)",""
"TITLE","(128kbit_Opus)",""
"TITLE","(128kbit_AAC)",""
"TITLE","(192kbit AAC)",""
"TITLE","(192kbit_AAC)",""
"TITLE","(152kbit_Opus)",""
"TITLE","_113039179 - Coccolino Deep","" 
"TITLE","Coccolino Deep - Donnie Darko","Donnie Darko"
"TITLE","Coccolino Deep - Interstellar","Interstellar"
"TITLE","720p","",
"TITLE","She&#39;s Got Her Ticket","She's got her Ticket"
"TITLE","Intro HQ","Intro"
"TITLE","/ Ertrinken","Ertrinken"
"TITLE","22_Peer Kusiv - No!","Peer Kusiv - No!"
"TITLE","Don&#39;t forget to fly","Don't forget to fly"
"TITLE","/ „Bonnie & Clyde","Bonnie & Clyde"
"TITLE","Dont Hate","Don't hate (feat. Royce da 5' 9"" & Tre Little)"
"TITLE","Don&#39;t hate (feat. Royce da 5&#39; 9&#34; & Tre Little)", "Don't hate (feat. Royce da 5' 9"" & Tre Little)"
"TITLE","Don&amp;apos;t hate (feat. Royce da 5&amp;apos; 9&quot; &amp; Tre Little)", "Don't hate (feat. Royce da 5' 9"" & Tre Little)"
"TITLE","Boris Brejcha Live @ Bevip 17.09.17","Boris Brejcha Live @ Bevip Music Please"
"TITLE","Boris_Brejcha_@_Live_At_Bevip_#_Music_Please_#_HQ_09_171515071915300","Boris Brejcha Live @ Bevip Music Please"
"TITLE","Boris Brejcha Live @ Bevip Music Please1515071915300","Boris Brejcha Live @ Bevip Music Please"
"TITLE","Masters_Of_Hardcore_2017_-_The_Skull_Dynasty_-_Outblast_'The_Last_Show'1515289004183","Masters Of Hardcore 2017 The Skull Dynasty Outblast The Last Show"
"TITLE","Milk & Sugar feat. Maria Marquez - Canto Del Pilon (Peer Kusiv Club Mix)_ - Milk & Sugar","Milk & Sugar feat. Maria Marquez - Canto Del Pilon (Peer Kusiv Club Mix)"
"TITLE","Bass-D &amp; King Matthew / Megamix","Bass-D & King Matthew / Megamix"
"TITLE","Neophyte_vs_Outblast_at_Dominator_2015","Neophyte vs Outblast @ Dominator 2015"
"TITLE","Oliver Koletzki Boiler Room Berlin DJ Set","Oliver Koletzki @ Boiler Room Berlin"
"TITLE","Thunderdome_25_Years_Cd_","Thunderdome 25 Years"
"TITLE","Orion&#039;s Voice","Orion's Voice"
"TITLE","Peer Kursiv &amp; Martin Jondo","Peer Kursiv & Martin Jondo"
"TITLE","101 Samy Deluxe - Wickeda MC","Wickeda MC"
"TITLE","You&#39;re My Chocolate (faster)","You're My Chocolate (faster)"
"TITLE","Imprint Of Pleasure (Original Mix)","Imprint of Pleasure (Original Mix)"
"TITLE","In Hell I&#039;ll Be In Good Company  - Lyrics","In Hell I'll Be In Good Company  - Lyrics"
"TITLE","Liveset_Promo_@_Hardshock_Festival_2016","Promo @ Hardshock Festival 2016"
"TITLE","The Chase (Jam &amp; Spoon Radio Mix)","The Chase (Jam & Spoon Radio Mix)"
"TITLE","Need To Feel Loved FULL (Adam K &amp; Soha Vocal Mix)","Need To Feel Loved FULL (Adam K & Soha Vocal Mix)"
"TITLE","You&#39;re My Chocolate (faster)","You're My Chocolate (faster)"
"TITLE","Extreme Ways (Dj Tiësto&#39;s Vocal Remix)","Extreme Ways (Dj Tiësto's Vocal Remix)"
"TITLE", "The Skull Dynasty | Outblast &#039;The Last Show","The Skull Dynasty Outblast The Last Show"
"TITLE","Chapter &amp; Page / Revelation (Dark Moon Mix)","Chapter & Page / Revelation (Dark Moon Mix)"
"ARTIST","[unknown]",""
"ARTIST","Crave You (Adventure Club Dubstep Remix)","Flight Facilities"
"ARTIST","Alec Troniq &amp; Gabriel Vitel","Alec Troniq & Gabriel Vitel"
"ARTIST","Creutzfeld &amp; Jakob","Creutzfeld & Jakob"
"ARTIST","Creutzfeld und Jakob","Creutzfeld & Jakob"
"ARTIST","Tube &amp; Berger","Tube & Berger"
"ARTIST","ĂVEM","Ăvem"
"ARTIST","Eines Tages","Robin Schulz"
"ARTIST","Peer Kursiv &amp; Martin Jondo","Peer Kursiv & Martin Jondo"
"ARTIST","Orion&#039;s Voice","Orion's Voice"
"ARTIST","Giorgio Moroder vs. Jam &amp; Spoon","Giorgio Moroder vs. Jam & Spoon"
"ARTIST","Knopp &amp; Kneitz","Knopp & Kneitz"
"ARTIST","Nas &amp; Damian Marley","Nas & Damian Marley"
